condition_id,trial,spike_time_ms
6,5,1.5578348064480176
6,5,14.909548567293216
6,5,28.667245150512517
6,5,41.53220580551799
6,5,54.300492636520865
6,5,67.39341478065629
6,5,80.66498260922724
6,5,94.1125617795001
6,5,107.02511349359983
6,5,120.86923934135051
6,5,133.8241179796982
6,5,147.30821566470837
6,5,160.51500498421805
6,5,173.21538664874356
6,5,185.80928569220598
6,5,198.70805221433886
6,6,1.57112018377292
6,6,14.979421146720544
6,6,27.97575772587931
6,6,40.90718567111257
6,6,54.0640048530293
6,6,67.2890909273111
6,6,80.17487462761696
6,6,93.23918572734438
6,6,106.50248932995753
6,6,119.10440942341874
6,6,131.8943760437668
6,6,144.5984091392018
6,6,157.1091137741801
6,6,169.92597779172652
6,6,182.53384425251872
6,6,195.54815990118178
6,7,1.583667980943423
6,7,15.023181553596856
6,7,27.97099564031217
6,7,41.48561710677666
6,7,54.214120928972385
6,7,67.24352337519247
6,7,80.43848313656541
6,7,93.12841377881547
6,7,105.82879085966633
6,7,118.5996086917188
6,7,131.87709327314542
6,7,145.32098173623993
6,7,158.25580686554412
6,7,171.928272546762
6,7,184.50795522630867
6,7,197.62579155150408
6,8,1.5885504280939975
6,8,15.277069037958308
6,8,28.61522456004178
6,8,42.017556790304866
6,8,55.52328619943768
6,8,68.6314653390875
6,8,81.53582103746247
6,8,94.6606606781833
6,8,107.90516885240295
6,8,120.48324647897304
6,8,132.9741333104857
6,8,145.59758599945692
6,8,158.47017116002266
6,8,171.57552677957045
6,8,184.11985794149737
6,8,196.56523290808792
6,9,1.5178008585662799
6,9,14.731389115141784
6,9,27.8948305292314
6,9,40.66050334795833
6,9,54.6013698756878
6,9,67.17989646855668
6,9,80.47494537367945
6,9,94.28184080013297
6,9,107.42064890415608
6,9,120.08348393429686
6,9,133.63019098523912
6,9,146.97413174384445
6,9,159.92758924028175
6,9,173.0341595882939
6,9,185.78197706942842
6,9,198.50860090440227
